id,c3,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey
3442,SLV,2010,45.4,4.6,9.2,14,21.6,50.6,1.6,3,4,5.2,6.2,7.8,9.4,12.2,16.4,34.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6301,6164626,,High,13,United Nations,ECLAC,,
3443,SLV,2010,40.2,5.4,10.4,15.6,22.6,46,2,3.4,4.6,5.8,7,8.6,10.2,12.4,16.2,29.8,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6301,6164626,,High,13,United Nations,ECLAC,,
3444,SLV,2010,42.4,5.4,9.8,14.6,21.6,48.6,2,3.4,4.4,5.4,6.6,8,9.6,12,16.4,32.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6301,6164626,,High,13,United Nations,ECLAC,,
3445,SLV,2010,43.51,5.14,9.62,14.35,21.49,49.38,1.93,3.21,4.27,5.35,6.5,7.85,9.57,11.92,16.15,33.23,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3310.8,2360.52,US$2011PPP,Year,1,3311,2361,6301,6164626,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3446,SLV,2011,42.3,5.6,10,14.5,21.2,48.7,2.1,3.5,4.5,5.5,6.6,7.9,9.5,11.7,15.9,32.8,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,145,,United States dollar,Year,1,,,6511,6192560,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3447,SLV,2011,40,6.1,10.7,15,21.5,46.8,2.3,3.8,4.8,5.9,6.9,8.1,9.7,11.8,15.6,31.2,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6511,6192560,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3448,SLV,2011,42.32,5.59,10.03,14.47,21.27,48.65,2.12,3.47,4.5,5.53,6.61,7.86,9.52,11.75,15.9,32.75,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3232.32,2321.04,US$2011PPP,Year,1,3232,2321,6511,6192560,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3449,SLV,2011,43,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6511,6192560,New 2013,High,11,Research study,Commitment to Equity Project,"El Salvador (Beneke et al, 2015)",
3450,SLV,2011,44,,,,,,,,,,,,,,,,,,Earnings,Market income,Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6511,6192560,New 2013,High,9,Research study,Commitment to Equity Project,"El Salvador (Beneke et al, 2015)",
3451,SLV,2012,41.8,5.8,10.2,14.7,21.2,48.2,2.2,3.6,4.6,5.6,6.7,8,9.5,11.7,15.6,32.6,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,151,,United States dollar,Year,1,,,6664,6221246,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3452,SLV,2012,39.6,6.2,10.8,15.2,21.5,46.3,2.4,3.8,4.9,5.9,7,8.2,9.7,11.8,15.3,31,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6664,6221246,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3453,SLV,2012,43.7,5,9.6,14.4,21.4,49.6,1.8,3.2,4.2,5.4,6.6,7.8,9.6,11.8,16,33.6,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6664,6221246,,High,13,United Nations,ECLAC,,
3454,SLV,2012,39.3,5.8,10.8,15.8,22.6,45.4,2.2,3.6,4.8,6,7.2,8.6,10.2,12.4,16,29.4,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6664,6221246,,High,13,United Nations,ECLAC,,
3455,SLV,2012,41.1,6,10.4,14.8,21.2,47.6,2.4,3.6,4.8,5.6,6.8,8,9.4,11.8,15.4,32.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6664,6221246,,High,13,United Nations,ECLAC,,
3456,SLV,2012,41.83,5.72,10.19,14.65,21.25,48.19,2.16,3.56,4.57,5.62,6.7,7.95,9.5,11.75,15.6,32.59,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3344.88,2439.96,US$2011PPP,Year,1,3345,2440,6664,6221246,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3457,SLV,2013,43.4,5.5,9.8,14.2,20.7,49.6,2.1,3.4,4.4,5.4,6.5,7.7,9.3,11.4,15.4,34.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,168,,United States dollar,Year,1,,,6790,6250777,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3458,SLV,2013,41.4,6,10.4,14.7,20.9,48,2.3,3.7,4.7,5.7,6.8,7.9,9.4,11.5,15.1,32.9,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6790,6250777,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3459,SLV,2013,45.3,4.8,9.4,14,20.8,51,1.8,3,4.2,5.2,6.4,7.6,9.2,11.6,15.8,35.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6790,6250777,,High,13,United Nations,ECLAC,,
3460,SLV,2013,39.9,5.8,10.6,15.4,22.2,46,2.2,3.6,4.8,5.8,7,8.4,10,12.2,15.8,30.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6790,6250777,,High,13,United Nations,ECLAC,,
3461,SLV,2013,43.1,5.6,10.2,14.2,20.6,49.4,2.2,3.4,4.6,5.6,6.6,7.6,9.2,11.4,15.4,34,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6790,6250777,,High,13,United Nations,ECLAC,,
3462,SLV,2013,43.36,5.54,9.85,14.25,20.71,49.64,2.11,3.43,4.41,5.44,6.53,7.72,9.29,11.42,15.4,34.24,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3689.52,2629.44,US$2011PPP,Year,1,3690,2629,6790,6250777,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3463,SLV,2014,41.6,5.8,10.2,14.7,21.3,48.1,2.2,3.6,4.6,5.6,6.7,8,9.5,11.8,15.9,32.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,167,,United States dollar,Year,1,,,6891,6281189,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3464,SLV,2014,39.5,6.2,10.8,15.2,21.6,46.4,2.4,3.8,4.9,5.9,7,8.2,9.7,11.9,15.6,30.8,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,6891,6281189,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3465,SLV,2014,41.56,5.77,10.17,14.67,21.38,48.01,2.21,3.56,4.58,5.59,6.71,7.96,9.54,11.84,15.86,32.15,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3600.72,2618.88,US$2011PPP,Year,1,3601,2619,6891,6281189,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3466,SLV,2015,40.6,6.1,10.4,14.8,21.4,47.1,2.4,3.7,4.7,5.7,6.8,8,9.6,11.8,15.3,31.8,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,172,,United States dollar,Year,1,,,7020,6312478,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3467,SLV,2015,38.4,6.6,11,15.4,21.6,45.4,2.6,4,5,6,7.1,8.3,9.8,11.8,15.1,30.3,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,7020,6312478,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3468,SLV,2015,40.55,6.11,10.45,14.84,21.42,47.18,2.38,3.73,4.72,5.73,6.8,8.04,9.62,11.8,15.35,31.83,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3704.88,2735.88,US$2011PPP,Year,1,3705,2736,7020,6312478,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3469,SLV,2016,40,6,10.5,15.3,21.8,46.4,2.3,3.7,4.7,5.8,7,8.3,9.8,12,15.7,30.7,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,7164,6344722,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3470,SLV,2016,38,6.4,11.1,15.7,22.1,44.8,2.5,3.9,5,6.1,7.2,8.5,10,12.1,15.5,29.3,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,,,,,1,,,7164,6344722,New 2018,High,13,SEDLAC,SEDLAC 2018,,
3471,SLV,2016,39.98,5.94,10.57,15.23,21.88,46.38,2.28,3.66,4.74,5.83,6.96,8.27,9.84,12.04,15.73,30.65,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Non-EU,Non-OECD,Lower middle income,3734.16,2840.88,US$2011PPP,Year,1,3734,2841,7164,6344722,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3472,GNQ,2001,50.2,2.4,,,,53,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,,Person,All,All,All,All,Non-EU,Non-OECD,Upper middle income,,,,,733.0385071,,,16932,639762,New 2018,Low,12,United Nations,UNCTAD 2008,Guinea Ecuatorial Ministerio de Planificacion 2006,"Estudio del Perfil de Pobreza en Guinea Ecuatorial, EEH 2006"
3473,ERI,1997,,6.9,10.98,15.03,21.24,45.85,,,,,,,,,,,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Non-EU,Non-OECD,Low income,,,,,6.758821784,,,1828,3161350,New 2018,Average,11,Research study,Arneberg and Pederson 2001,,Eritrean Household Income and Expenditure Survey 1996/97
3474,EST,1981,25.1,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, state sector",EU,OECD,High income,,,,,,,,,1483873,,Average,5,Research study,Atkinson and Micklewright 1992,,March Census
3475,EST,1986,26.7,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, state sector",EU,OECD,High income,,,,,,,,,1536033,,Average,5,Research study,Atkinson and Micklewright 1992,,March Census
3476,EST,1988,27.8,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,Specific categories,Mostly families of state sector and collective farm employees,EU,OECD,High income,2232,,Estonian ruble,Month,,,,,1564192,,Average,10,Research study,Alexeev and Gaddy 1993,,Family Budget Survey
3477,EST,1989,28,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,Specific categories,Mostly families of state sector and collective farm employees,EU,OECD,High income,,,,,,,,,1569971,,Average,10,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3478,EST,1989,29.9,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,Specific categories,Mostly families of state sector and collective farm employees,EU,OECD,High income,2630.4,2198.4,Estonian ruble,Month,,,,,1569971,,Average,10,Research study,Atkinson and Micklewright 1992,,Family Budget Survey
3479,EST,1989,25.3,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, state sector",EU,OECD,High income,2764.8,2524.8,Estonian ruble,Month,,,,,1569971,,Average,5,Research study,Atkinson and Micklewright 1992,,March Household Survey
3480,EST,1990,24,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Family per capita,Household,Person,All,All,All,All,EU,OECD,High income,2808,,Estonian ruble,Month,,,,,1565242,,Average,11,Research study,Alexeev and Gaddy 1993,,Family Budget Survey
3481,EST,1992,35.8,7.02,11.77,16.11,22.01,43.09,,,,,,,,,,,,,Consumption,Consumption,,,,Person,All,All,All,All,EU,OECD,High income,,,,,,,,,1520810,,Low,9,Research study,Milanovic and Ying 1996,,
3482,EST,1993,34,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,,,,,13.22275,,,,1488059,,Average,10,National statistical authority,Statistics Estonia 1998,Social Trends report,Household Budget Survey
3483,EST,1993,39.5,6.41,10.81,15.15,21.34,46.3,2.5,3.91,4.91,5.9,6.97,8.18,9.67,11.67,14.95,31.35,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,4046.28,3052.32,US$2011PPP,Year,13.22275,4046,3052,,1488059,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
3484,EST,1993,39.5,6.4,10.81,15.15,21.34,46.29,,,,,,,,,,,,,Income (gross),"Income, gross",,,,Person,All,All,All,All,EU,OECD,High income,,,,,13.22275,,,,1488059,,Low,9,Research study,Milanovic and Ying 1996,,
3485,EST,1993,31.5,6.24,10.92,15.28,21.4,46.14,,,,,,,,,,,,,Consumption,Consumption,,,,Person,All,All,All,All,EU,OECD,High income,,,,,13.22275,,,,1488059,,Low,9,Research study,Milanovic and Ying 1996,,
3486,EST,1994,39,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,,,,,12.99125,,,,1457093,,Average,10,National statistical authority,Statistics Estonia 1998,Social Trends report,Household Budget Survey
3487,EST,1995,39.8,,,,,,,,,,,,,,,,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,,,,,11.46475,,,11390,1433024,,Average,10,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3488,EST,1995,38,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,,,,,11.46475,,,11390,1433024,,High,10,National statistical authority,Statistics Estonia 1998,Social Trends report,Household Budget Survey q4
3489,EST,1995,30.06,8.07,12.86,17.46,23.39,38.21,3.37,4.7,5.87,6.99,8.12,9.34,10.77,12.62,15.5,22.71,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,3326.52,2896.68,US$2011PPP,Year,11.46475,3327,2897,11390,1433024,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3490,EST,1995,35.4,6.13,12.09,16.86,22.98,41.93,2.06,4.07,5.41,6.68,7.83,9.03,10.48,12.5,16.03,25.9,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,1032,,United States dollar,Month,11.46475,,,11390,1433024,,High,13,Research study,Milanovic 1998,,Household Budget Survey
3491,EST,1995,31,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,,,,,11.46475,,,11390,1433024,,Average,11,Research study,Milanovic 1998,,Household Budget Survey
3492,EST,1996,37,6.75,12.43,15.83,21.88,43.11,2.13,4.62,5.8,6.63,7.4,8.43,9.92,11.96,15.21,27.91,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,18379.2,,Estonian kroon,Month,12.038,,,12126,1417736,New 2013,High,12,United Nations,UNICEF 2011,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3493,EST,1996,36,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,,,,,12.038,,,12126,1417736,,High,10,National statistical authority,Statistics Estonia 1998,Social Trends report,Household Budget Survey q4
3494,EST,1997,33.6,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, full-time, excl. self-employeds and farmers",EU,OECD,High income,,,,,13.88175,,,13635,1409674,,Average,5,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Survey on Hourly Wages and Salaries
3495,EST,1997,36.1,6.98,12.29,15.39,21.04,44.3,2.32,4.66,5.78,6.51,7.22,8.17,9.51,11.53,15.05,29.25,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,21055.2,,Estonian kroon,Month,13.88175,,,13635,1409674,New 2013,High,12,United Nations,UNICEF 2011,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3496,EST,1997,34,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,19560,,Estonian kroon,Month,13.88175,,,13635,1409674,,High,11,National statistical authority,Statistics Estonia 1998,,Household Budget Survey
3497,EST,1997,37,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,19812,,Estonian kroon,Month,13.88175,,,13635,1409674,,High,11,National statistical authority,Statistics Estonia 1998,,Household Budget Survey
3498,EST,1998,35.4,7.12,12.01,15.22,21.39,44.26,2.44,4.68,5.66,6.35,7.1,8.12,9.6,11.78,15.21,29.05,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,24542.4,,Estonian kroon,Month,14.07466667,,,14229,1406350,,High,12,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3499,EST,1998,38.4,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, full-time, excl. self-employeds and farmers",EU,OECD,High income,,,,,14.07466667,,,14229,1406350,,Average,5,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Survey on Hourly Wages and Salaries
3500,EST,1998,36,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,,,,,14.07466667,,,14229,1406350,,High,11,National statistical authority,Statistics Estonia,,Household Budget Survey
3501,EST,1998,37,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,24168,,Estonian kroon,Month,14.07466667,,,14229,1406350,,High,11,National statistical authority,Statistics Estonia 1999,Estonian Statistics Monthly 1/99,Household Budget Survey
3502,EST,1998,37.64,6.99,10.96,15.32,21.61,45.11,2.99,4,4.98,5.98,7.05,8.27,9.77,11.84,15.35,29.76,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,4279.56,3264.84,US$2011PPP,Year,14.07466667,4280,3265,14229,1406350,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3503,EST,1999,36.1,6.86,12.47,15.63,21.32,43.72,2.37,4.49,5.78,6.69,7.38,8.25,9.62,11.7,15.21,28.51,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,26095.2,,Estonian kroon,Month,14.67758333,,,14133,1403789,,High,12,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3504,EST,1999,40.1,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, full-time, excl. self-employeds and farmers",EU,OECD,High income,,,,,14.67758333,,,14133,1403789,,Average,5,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Survey on Hourly Wages and Salaries
3505,EST,1999,36.2,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,,,,,14.67758333,,,14133,1403789,,High,11,National statistical authority,Statistics Estonia,,Household Budget Survey
3506,EST,2000,36.5,6.66,11.93,15.79,21.76,43.86,2.39,4.27,5.46,6.47,7.35,8.44,9.85,11.91,15.24,28.62,0.82,18.46,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,27580,21613,Estonian kroon,Year,16.96863667,,,15679,1399112,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
3507,EST,2000,36.3,6.73,11.57,15.98,22.28,43.44,2.5,4.23,5.29,6.28,7.37,8.61,10.18,12.1,15.58,27.86,0.89,17.6,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,EU,OECD,High income,45850,36391,Estonian kroon,Year,16.96863667,,,15679,1399112,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
3508,EST,2000,36,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,EU,OECD,High income,,,Euro,Year,16.96863667,,,15679,1399112,New 2018,High,11,Eurostat,Eurostat 2018,,
3509,EST,2000,38.9,6.64,12.21,15.28,21.5,44.36,2.18,4.46,5.71,6.5,7.17,8.11,9.65,11.86,15.36,29.01,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,27734.4,,Estonian kroon,Month,16.96863667,,,15679,1399112,,High,12,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3510,EST,2000,37.6,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, full-time, excl. self-employeds and farmers",EU,OECD,High income,,,,,16.96863667,,,15679,1399112,,Average,5,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Survey on Hourly Wages and Salaries
3511,EST,2000,36.7,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,,,,,16.96863667,,,15679,1399112,,High,11,National statistical authority,Statistics Estonia,,Household Budget Survey
3512,EST,2000,35.78,6.93,11.66,16.06,22.21,43.14,2.68,4.25,5.32,6.34,7.42,8.64,10.11,12.1,15.51,27.63,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,3928.56,3144.36,US$2011PPP,Year,16.96863667,3929,3144,15679,1399112,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3513,EST,2001,35,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,EU,OECD,High income,,,Euro,Year,17.47807153,,,16760,1391729,New 2018,High,11,Eurostat,Eurostat 2018,,
3514,EST,2001,38.8,,,,,,,,,,,,,,,,,,Earnings,"Earnings, gross",No adjustment,No adjustment,Person,Person,All,All,Specific categories,"Employed, full-time, excl. self-employeds and farmers",EU,OECD,High income,,,,,17.47807153,,,16760,1391729,,Average,5,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Survey on Hourly Wages and Salaries
3515,EST,2001,38.5,7.15,12.3,15.41,21.48,43.66,2.52,4.63,5.78,6.52,7.23,8.19,9.6,11.88,15.81,27.84,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,28920,,Estonian kroon,Month,17.47807153,,,16760,1391729,New 2013,High,12,United Nations,UNICEF 2011,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3516,EST,2001,36.01,7.04,11.56,15.85,22.14,43.41,2.74,4.3,5.3,6.26,7.32,8.53,10.02,12.12,15.51,27.9,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,3814.32,2999.64,US$2011PPP,Year,17.47807153,3814,3000,16760,1391729,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3517,EST,2002,35,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,EU,OECD,High income,,,,,16.61179167,,,17894,1382732,New 2018,High,11,Eurostat,Eurostat 2018,,
3518,EST,2002,39.3,7.08,12.4,15.45,21.32,43.74,2.5,4.58,5.81,6.59,7.28,8.17,9.57,11.76,15.75,27.99,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,31272,,Estonian kroon,Month,16.61179167,,,17894,1382732,,High,12,United Nations,UNICEF 2004,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3519,EST,2002,36.6,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,,,,,16.61179167,,,17894,1382732,,High,11,National statistical authority,Statistics Estonia 2003,,Household Budget Survey
3520,EST,2002,35.79,6.91,11.65,15.95,22.41,43.08,2.71,4.2,5.3,6.35,7.38,8.57,10.16,12.25,15.77,27.31,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,3898.08,3086.04,US$2011PPP,Year,16.61179167,3898,3086,17894,1382732,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3521,EST,2003,40.2,7.21,12.54,15.68,21.33,43.24,2.59,4.63,5.86,6.68,7.38,8.3,9.65,11.68,15.22,28.02,,,Income (net),"Income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,EU,OECD,High income,34939.2,,Estonian kroon,Month,13.8564114,,,19359,1372909,New 2007,High,12,United Nations,UNICEF 2005,Transformative Monitoring for Enhanced Equity (TransMonEE),Household Budget Survey
3522,EST,2003,35.5,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,EU,OECD,High income,30477.6,,Estonian kroon,Month,13.8564114,,,19359,1372909,,High,11,National statistical authority,Statistics Estonia 2004,,Household Budget Survey
